                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66635,                0.48531,                 1.0237,                0.93543,                0.80395,                0.85403,                0.56788,                 1.1551,                0.54479,                 1.2714,               0.003268,               0.003268,               0.003268
                     36,                0.66222,                0.48089,                 1.0163,                0.94623,                 0.7768,                0.85007,                0.57971,                  1.117,                0.54366,                 1.2145,                0.00307,                0.00307,                0.00307
                     37,                0.64615,                0.46833,                 1.0122,                 0.9269,                0.80158,                0.85082,                0.59207,                 1.0599,                0.51705,                 1.2024,               0.002872,               0.002872,               0.002872
                     38,                0.64417,                0.46181,                 1.0054,                0.93721,                0.78889,                0.85174,                0.55586,                 1.1994,                0.54444,                 1.2892,               0.002674,               0.002674,               0.002674
                     39,                0.62728,                0.45199,                0.99683,                0.92281,                0.81435,                0.86639,                0.58308,                 1.1365,                 0.5001,                 1.2469,               0.002476,               0.002476,               0.002476
                     40,                 0.6234,                0.38594,                0.98252,                0.93721,                 0.7836,                0.84822,                0.57833,                 1.0943,                 0.5134,                 1.2239,               0.002278,               0.002278,               0.002278
                     41,                0.61395,                0.36895,                0.97724,                0.92173,                0.80743,                0.85678,                 0.5814,                 1.1426,                0.52564,                 1.2399,                0.00208,                0.00208,                0.00208
                     42,                0.60143,                0.36477,                0.97248,                0.91877,                0.80645,                0.85965,                0.58986,                 1.0912,                0.51108,                 1.1996,               0.001882,               0.001882,               0.001882
                     43,                0.58877,                0.35505,                0.96083,                0.94073,                0.80725,                0.86126,                 0.5999,                 1.0529,                0.49553,                 1.1655,               0.001684,               0.001684,               0.001684
                     44,                0.57302,                0.34542,                0.95095,                0.92937,                 0.8025,                0.86081,                0.59566,                  1.085,                 0.4983,                 1.1961,               0.001486,               0.001486,               0.001486
                     45,                0.56095,                 0.3374,                0.94751,                0.94683,                 0.7976,                0.86224,                0.59334,                 1.0906,                0.49773,                 1.2015,               0.001288,               0.001288,               0.001288
                     46,                 0.5499,                0.32999,                0.94344,                0.94564,                0.79709,                0.86311,                0.59663,                 1.0582,                0.49038,                 1.1838,                0.00109,                0.00109,                0.00109
                     47,                0.54456,                0.32437,                0.94146,                0.94248,                0.80927,                0.86774,                0.59785,                 1.0595,                0.48194,                 1.1948,               0.000892,               0.000892,               0.000892
                     48,                0.53504,                0.31821,                0.93778,                0.92794,                0.81609,                0.87282,                0.60902,                  1.044,                0.47444,                 1.1879,               0.000694,               0.000694,               0.000694
                     49,                0.52013,                0.30964,                0.93081,                0.92699,                0.81557,                0.86768,                 0.6062,                 1.0435,                0.47146,                 1.1861,               0.000496,               0.000496,               0.000496
