                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3622,                 3.0354,                 1.4508,                0.47898,                0.26145,                0.22978,                0.10475,                 1.7648,                 3.1173,                 1.7095,               0.070184,              0.0033129,              0.0033129
                      1,                 1.2706,                  2.021,                 1.3882,                0.54185,                0.37229,                0.39029,                0.18628,                  1.761,                 2.5323,                 1.7451,               0.037991,               0.004453,               0.004453
